gene_id,10.5_n1,10.5_n2,11.5_n1,11.5_n2,13.5_n1,13.5_n2,15.5_n1,15.5_n2,15.5_n3,15.5_n4,18.5_n1,18.5_n2,P0_n1,P0_n2,Adult_n1,Adult_n2
NOP10,533,454,87,217,692,751,904,939,274,266,322,359,912,583,529,844
LPCAT4,74,79,26,50,247,161,510,577,161,109,126,214,694,396,1438,2405
CCDC34,595.96,681,82,269,290,256,642,961,170,132.97,89,93,439,372,192,256
LIN7C,2387,3074,295,1330,1991,1200,2359,3394,931,814,914,1261,2262,1991,2795,3194
COMMD9,298,306,65,178,497,537,657,684,227,178,333,296,846,569,432,612
TRAF6,738,1005,131,388,719,411,809,870,377,359,399,562,983,970,916,939
IFTAP,311,331,50,223,454,433,326,695,244,216,279,328,786,448,538,820
DNAJC24,166,142,19,57,139,146,170,213,73,56,70,80,163,119,100,112
ELP4,477,490,92,195,389,256,403,441,163,165,221,237,311,282,194,231
PAX6,847,614,1,144,9,4,4,5,1,5,1,1,3,7,2,3
EIF3M,2180.2,2270.65,482.38,1108.34,3105.67,2711.15,2625.13,3522.72,1044.04,829.9,1538.99,1860.72,3479.55,2261.19,1898.98,2535.79
PRRG4,19,28,8,26,62,25,131,104,99,79,53,107,78,81,340,331
DEPDC7,65,41,12,30,68,33,110,154,37,33,38,53,117,60,63,84
TCP11L1,173,359,51,192,123,68,250,321,64,72,64,71,117,114,149,135
CSTF3,626,980,121,360,620,408,966,986,230,215,191,187,748,624,639,777
HIPK3,1195,2079,574,1201,6399,4833,6275,6119,4462,3909,5942,5884,5560,5822,5209,5426
FBXO3,1146,1367,277,691,1678,1233,2151,2640.99,1168,1024,1181,1287,2795,2307.95,3241.05,3460.98
CAPRIN1,11907,16609,2022,5856,10148,6741,11684,11076,3242,2658,4087,4558,6549,5692,4615,5441
NAT10,722,1049,157,321,748,446,804,876,318,229,316,424,1045,789,736,726
ELF5,6,3,2,15,42,12,230,236,86,99,99,197,576,282,1325,1780.99
CAT,1803,2076,382,838,2119,1433,2031,2189,972,1492,1958,2118,4478,2442,2292,3284
PAMR1,7,16,50,78,351,100,1302,1520,719,549,1272,1390,2730,2479,284,437
TRIM44,1687,2563,557,1517,2806,1782,4533,5153,1213,965,1042,1627,3594,3296,2598,2783
API5,3677,4092.01,565,1470.98,3079,1795,3123,3975,1095,949,1010,1393,2658,2241,2282,2871.48
TTC17,288,483.83,104,269,574,399.78,841.77,882.4,353,308,440,464,1099.71,990.9,846.85,960.58
HSD17B12,786,812,142,360,918,576,1463,1797,342,457,419,520,1473,1053,1562,1907
EXT2,573,768,190,426,1911,1297,2540,2623,706,501,948,1084,2521,1943,1123,1417
GATM,125,99,57,118,388,301,6475,3040,2856,2016,4689,3779,5459,4699,346,440
SEMA6D,436,1089,164,645,2652,1899,1939,1459,615,543,798,736,999,1090,664,758
MYEF2,2650.06,3458.07,397.13,1242.8,1724.22,1209.1,2410.05,2677.81,406,296.19,389.42,425,1324.93,1387.08,616.25,648.1
SLC12A1,0,0,0,4,0,1,0,7,1,4,1,0,2,1,2,0
DUT,1317,1098,168,359,786,714,1070,1315,231,158,160,193,803,527,330,455
FBN1,913.99,2084.77,946,2059.56,9449.62,6022.43,17406.49,9942.96,11511.4,8791.77,17390.44,21861.99,18249.39,22350.5,4149.99,4991.99
COPS2,2630,3207,583,1414,3519,2808,2674,4488,1337,1024,1804,2128,3772,2725,2408,2740
GALK2,387,468,101,203,675,636.73,576,725,291,241,257,373,642,458,327.73,471
FGF7,6,8,15,37,31,22,390,390,139,124,224,271,477,306,335,500
FAM227B,0,0,0,4,4,1.27,0,0,2,0,1,1,1,4,8.27,6
MEIS2,1414,3725,569,1935,1474,924,1596,2143,519,367,446,626,1020,635,462,624
CD82,34,51,32,84,531,450,2211,2149,522,348,585,621,2236,1565,1865,2976
TSPAN18,575.82,1037.22,98.16,432.12,1661.05,1250,1728.46,1280.05,326.3,325.9,411,441.18,1142.37,998.57,442.87,499.52
SLC28A2,1,0,0,12,2,0,35,5,12,12,25,35,57,46,222,334
SYT13,176,285,12,185,63,34,141,77,21,24,21,23,40,43,0,1
CHST1,36,43,10,39,56,27,285,174,52,58,55,60,239,180,87,113
PEX16,121,119,21,64,160,179,227,258,169,184,174,218,629,395,337,469
MAPK8IP1,952,884,127,455,576,401,1584,1564,419,275,511,463,1121,791,371,461
DUOXA1,1,0,2,8.28,8,4,169.1,69,81,64,83,148,411.52,203.47,831.4,1304.65
DUOXA2,0,0,0,1.72,1,8,21.9,17,10,3,9,3,70.48,49.53,108.6,275.35
SORD,264,256,46,148,1177,1305,532,668,296,273,412,443,765,477,1289,1562
TERB2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
